,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
27,"frozenset({'white', '<50K', 'n_married'})",frozenset({'UnitedStates'}),0.4078903746270306,0.9145761962647806,0.38258371090728255,0.937957193172582,1.025564843042375,0.009536883587876521,1.3768526619506327,0.04209959181420246
28,"frozenset({'white', 'n_married'})","frozenset({'UnitedStates', '<50K'})",0.4349651895237043,0.5806166427229528,0.38258371090728255,0.8795731707317073,1.5148948652362428,0.13003568286467648,3.4824744604271247,0.6015349462629834
29,"frozenset({'male', 'n_married'})",frozenset({'UnitedStates'}),0.2517405238147862,0.9145761962647806,0.23074372858879436,0.9165935030728709,1.0022057285290489,0.00050783787256381,1.0241864468885775,0.002941324591974812
30,"frozenset({'male', 'n_married'})",frozenset({'<50K'}),0.2517405238147862,0.6373079898331308,0.22698640733782738,0.9016681299385425,1.4148075095914463,0.06655016014588663,3.6884482105362837,0.39182940822285084
31,"frozenset({'male', 'n_married'})",frozenset({'white'}),0.2517405238147862,0.8587689247430655,0.21471985854790585,0.8529411764705882,0.9932138342404263,-0.0014670804027741569,0.9603713117471541,-0.009048609148532482
32,"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'<50K'}),0.23074372858879436,0.6373079898331308,0.20720521604597192,0.8979885057471263,1.4090338110812806,0.06015039421244589,3.555403367269587,0.3773694584111477
33,"frozenset({'male', '<50K', 'n_married'})",frozenset({'UnitedStates'}),0.22698640733782738,0.9145761962647806,0.20720521604597192,0.9128529698149951,0.9981158197022585,-0.0003911489808663404,0.9802262171627965,-0.0024361000068910204
34,"frozenset({'male', 'n_married'})","frozenset({'UnitedStates', '<50K'})",0.2517405238147862,0.5806166427229528,0.20720521604597192,0.8230904302019314,1.4176142563565433,0.06104047827131323,2.370608654781918,0.3936996406242308
35,"frozenset({'male', 'UnitedStates', 'n_married'})",frozenset({'white'}),0.23074372858879436,0.8587689247430655,0.20079566802961654,0.8702107279693486,1.013323494710415,0.002640124338211869,1.088156771721325,0.017092240541037803
36,"frozenset({'male', 'white', 'n_married'})",frozenset({'UnitedStates'}),0.21471985854790585,0.9145761962647806,0.20079566802961654,0.9351518270715389,1.0224974484256109,0.004417996536361074,1.3172892909327885,0.028018599086310225
37,frozenset({'education.num_>12'}),frozenset({'UnitedStates'}),0.2529561277489225,0.9145761962647806,0.23019118134600508,0.9100043687199652,0.9950011518302277,-0.0011564717924723855,0.9491994502423177,-0.0066801982000702755
38,frozenset({'education.num_>12'}),frozenset({'white'}),0.2529561277489225,0.8587689247430655,0.2248867278152282,0.889034512887724,1.0352429940961285,0.0076558659811164775,1.2727477608784374,0.045570562493639416
39,"frozenset({'education.num_>12', 'UnitedStates'})",frozenset({'white'}),0.23019118134600508,0.8587689247430655,0.2148303679964637,0.9332693230916947,1.0867525549680537,0.01714933470661892,2.116434027051761,0.10369760411829836
40,"frozenset({'education.num_>12', 'white'})",frozenset({'UnitedStates'}),0.2248867278152282,0.9145761962647806,0.2148303679964637,0.9552825552825553,1.0445084391918613,0.009154319880779277,1.9103015450678213,0.05497500002933598
41,frozenset({'education.num_>12'}),"frozenset({'UnitedStates', 'white'})",0.2529561277489225,0.8048403138468339,0.2148303679964637,0.8492791612057669,1.0552144898738136,0.011241078749541111,1.2948420916075296,0.07004323727080158
42,frozenset({'Age (decade)_40.0'}),frozenset({'UnitedStates'}),0.22289755774118686,0.9145761962647806,0.2049950270748149,0.9196826970748637,1.00558346131349,0.001138226559170924,1.063579087246529,0.007145080325903468
43,frozenset({'education.num_10.0'}),frozenset({'UnitedStates'}),0.21814565145319925,0.9145761962647806,0.20576859321471985,0.9432624113475176,1.0313655824412382,0.006257773076950274,1.5055945408332398,0.038896888865272726
44,frozenset({'married'}),frozenset({'UnitedStates'}),0.4772903083213615,0.9145761962647806,0.43131837772129517,0.9036814077332715,0.9880876097847239,-0.005199976977299958,0.8868880007990684,-0.0225444640799508
45,frozenset({'married'}),frozenset({'white'}),0.4772903083213615,0.8587689247430655,0.42380373521936127,0.8879370224589025,1.0339650130267157,0.01392165035193943,1.2602830868485533,0.0628442271169902
46,frozenset({'married'}),frozenset({'male'}),0.4772903083213615,0.6749917117913582,0.423251187976572,0.8867793470710813,1.3137633123192884,0.10108418574131112,2.870574226529907,0.4569034936161053
47,"frozenset({'UnitedStates', 'married'})",frozenset({'white'}),0.43131837772129517,0.8587689247430655,0.39584484473422477,0.9177555726364335,1.0686874503650865,0.025442025276584734,1.71721148513338,0.113020569878802
48,"frozenset({'white', 'married'})",frozenset({'UnitedStates'}),0.42380373521936127,0.9145761962647806,0.39584484473422477,0.9340286831812256,1.0212693999645857,0.008244036614495132,1.2948627957492744,0.03614468797981307
49,frozenset({'married'}),"frozenset({'UnitedStates', 'white'})",0.4772903083213615,0.8048403138468339,0.39584484473422477,0.829358647835147,1.0304636007497248,0.011702363188808074,1.1436834253670618,0.05655721643217256
50,"frozenset({'male', 'married'})",frozenset({'UnitedStates'}),0.423251187976572,0.9145761962647806,0.3845728809813239,0.9086161879895561,0.9934833113965073,-0.0025225805828389403,0.9347804808739723,-0.011245228290764362
51,"frozenset({'UnitedStates', 'married'})",frozenset({'male'}),0.43131837772129517,0.6749917117913582,0.3845728809813239,0.8916218293620293,1.3209374482477083,0.09343655087615527,2.9988353401378953,0.4272370907433963
52,frozenset({'married'}),"frozenset({'male', 'UnitedStates'})",0.4772903083213615,0.6153166095701182,0.3845728809813239,0.8057420699235934,1.309475573049317,0.09088822668434737,1.980271231545482,0.4521353065539113
53,"frozenset({'male', 'married'})",frozenset({'white'}),0.423251187976572,0.8587689247430655,0.38081555973035697,0.8997389033942559,1.0477078029616036,0.017340592135491106,1.4086328599845288,0.07895188981462772
54,"frozenset({'white', 'married'})",frozenset({'male'}),0.42380373521936127,0.6749917117913582,0.38081555973035697,0.8985658409387223,1.331224999124836,0.0947515510310688,3.2041305534193856,0.43181846009927743
55,"frozenset({'male', 'UnitedStates', 'married'})",frozenset({'white'}),0.3845728809813239,0.8587689247430655,0.35595093380484033,0.9255747126436782,1.0777925073623271,0.025691694319165848,1.8976221694754134,0.11728054618224384
56,"frozenset({'male', 'white', 'married'})",frozenset({'UnitedStates'}),0.38081555973035697,0.9145761962647806,0.35595093380484033,0.9347069065583284,1.0220109711752434,0.007666087708207092,1.308313011873626,0.03478272577952682
57,"frozenset({'UnitedStates', 'white', 'married'})",frozenset({'male'}),0.39584484473422477,0.6749917117913582,0.35595093380484033,0.8992183137911782,1.3321916374421041,0.08875894445390153,3.224874483000987,0.41273709826910426
58,"frozenset({'male', 'married'})","frozenset({'UnitedStates', 'white'})",0.423251187976572,0.8048403138468339,0.35595093380484033,0.8409921671018277,1.0449180447761142,0.01530131483773084,1.227358945758007,0.07453356699028989
59,"frozenset({'UnitedStates', 'married'})","frozenset({'male', 'white'})",0.43131837772129517,0.5955354182782628,0.35595093380484033,0.8252626184985908,1.3857490136934028,0.09908556331748702,2.314699798328358,0.48949814742037917
60,"frozenset({'white', 'married'})","frozenset({'male', 'UnitedStates'})",0.42380373521936127,0.6153166095701182,0.35595093380484033,0.8398956975228162,1.3649813518110567,0.09517745632651087,2.402704889737129,0.46405934063081206
61,frozenset({'>50K'}),frozenset({'UnitedStates'}),0.36269201016686925,0.9145761962647806,0.3339595535418278,0.9207800121876905,1.0067832685217994,0.0022500744677854123,1.0783112456115007,0.010571914853183026
62,frozenset({'>50K'}),frozenset({'married'}),0.36269201016686925,0.4772903083213615,0.3324124212620179,0.9165143205362585,1.9202449841473959,0.15930303990377853,6.261070102515669,0.7519647047212866
